----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 24, 250, 250]             216
       BatchNorm2d-2         [-1, 24, 250, 250]              48
              SiLU-3         [-1, 24, 250, 250]               0
            Conv2d-4         [-1, 24, 250, 250]           5,184
       BatchNorm2d-5         [-1, 24, 250, 250]              48
              SiLU-6         [-1, 24, 250, 250]               0
         ConvBnAct-7         [-1, 24, 250, 250]               0
            Conv2d-8         [-1, 24, 250, 250]           5,184
       BatchNorm2d-9         [-1, 24, 250, 250]              48
             SiLU-10         [-1, 24, 250, 250]               0
        ConvBnAct-11         [-1, 24, 250, 250]               0
           Conv2d-12         [-1, 24, 250, 250]           5,184
      BatchNorm2d-13         [-1, 24, 250, 250]              48
             SiLU-14         [-1, 24, 250, 250]               0
        ConvBnAct-15         [-1, 24, 250, 250]               0
           Conv2d-16         [-1, 96, 125, 125]          20,736
      BatchNorm2d-17         [-1, 96, 125, 125]             192
             SiLU-18         [-1, 96, 125, 125]               0
         Identity-19         [-1, 96, 125, 125]               0
           Conv2d-20         [-1, 48, 125, 125]           4,608
      BatchNorm2d-21         [-1, 48, 125, 125]              96
     EdgeResidual-22         [-1, 48, 125, 125]               0
           Conv2d-23        [-1, 192, 125, 125]          82,944
      BatchNorm2d-24        [-1, 192, 125, 125]             384
             SiLU-25        [-1, 192, 125, 125]               0
         Identity-26        [-1, 192, 125, 125]               0
           Conv2d-27         [-1, 48, 125, 125]           9,216
      BatchNorm2d-28         [-1, 48, 125, 125]              96
     EdgeResidual-29         [-1, 48, 125, 125]               0
           Conv2d-30        [-1, 192, 125, 125]          82,944
      BatchNorm2d-31        [-1, 192, 125, 125]             384
             SiLU-32        [-1, 192, 125, 125]               0
         Identity-33        [-1, 192, 125, 125]               0
           Conv2d-34         [-1, 48, 125, 125]           9,216
      BatchNorm2d-35         [-1, 48, 125, 125]              96
     EdgeResidual-36         [-1, 48, 125, 125]               0
           Conv2d-37        [-1, 192, 125, 125]          82,944
      BatchNorm2d-38        [-1, 192, 125, 125]             384
             SiLU-39        [-1, 192, 125, 125]               0
         Identity-40        [-1, 192, 125, 125]               0
           Conv2d-41         [-1, 48, 125, 125]           9,216
      BatchNorm2d-42         [-1, 48, 125, 125]              96
     EdgeResidual-43         [-1, 48, 125, 125]               0
           Conv2d-44        [-1, 192, 125, 125]          82,944
      BatchNorm2d-45        [-1, 192, 125, 125]             384
             SiLU-46        [-1, 192, 125, 125]               0
         Identity-47        [-1, 192, 125, 125]               0
           Conv2d-48         [-1, 48, 125, 125]           9,216
      BatchNorm2d-49         [-1, 48, 125, 125]              96
     EdgeResidual-50         [-1, 48, 125, 125]               0
           Conv2d-51          [-1, 192, 63, 63]          82,944
      BatchNorm2d-52          [-1, 192, 63, 63]             384
             SiLU-53          [-1, 192, 63, 63]               0
         Identity-54          [-1, 192, 63, 63]               0
           Conv2d-55           [-1, 80, 63, 63]          15,360
      BatchNorm2d-56           [-1, 80, 63, 63]             160
     EdgeResidual-57           [-1, 80, 63, 63]               0
           Conv2d-58          [-1, 320, 63, 63]         230,400
      BatchNorm2d-59          [-1, 320, 63, 63]             640
             SiLU-60          [-1, 320, 63, 63]               0
         Identity-61          [-1, 320, 63, 63]               0
           Conv2d-62           [-1, 80, 63, 63]          25,600
      BatchNorm2d-63           [-1, 80, 63, 63]             160
     EdgeResidual-64           [-1, 80, 63, 63]               0
           Conv2d-65          [-1, 320, 63, 63]         230,400
      BatchNorm2d-66          [-1, 320, 63, 63]             640
             SiLU-67          [-1, 320, 63, 63]               0
         Identity-68          [-1, 320, 63, 63]               0
           Conv2d-69           [-1, 80, 63, 63]          25,600
      BatchNorm2d-70           [-1, 80, 63, 63]             160
     EdgeResidual-71           [-1, 80, 63, 63]               0
           Conv2d-72          [-1, 320, 63, 63]         230,400
      BatchNorm2d-73          [-1, 320, 63, 63]             640
             SiLU-74          [-1, 320, 63, 63]               0
         Identity-75          [-1, 320, 63, 63]               0
           Conv2d-76           [-1, 80, 63, 63]          25,600
      BatchNorm2d-77           [-1, 80, 63, 63]             160
     EdgeResidual-78           [-1, 80, 63, 63]               0
           Conv2d-79          [-1, 320, 63, 63]         230,400
      BatchNorm2d-80          [-1, 320, 63, 63]             640
             SiLU-81          [-1, 320, 63, 63]               0
         Identity-82          [-1, 320, 63, 63]               0
           Conv2d-83           [-1, 80, 63, 63]          25,600
      BatchNorm2d-84           [-1, 80, 63, 63]             160
     EdgeResidual-85           [-1, 80, 63, 63]               0
           Conv2d-86          [-1, 320, 63, 63]          25,600
